Category,Pair
CRYPTO,APT/USD
CRYPTO,ARB/USD
CRYPTO,AVAX/USD
CRYPTO,BNB/USD
CRYPTO,BTC/USD
CRYPTO,DOGE/USD
CRYPTO,ETH/USD
CRYPTO,ETHFI/USD
CRYPTO,FARTCOIN/USD
CRYPTO,HYPE/USD
CRYPTO,INJ/USD
CRYPTO,LINK/USD
CRYPTO,NEAR/USD
CRYPTO,OP/USD
CRYPTO,POPCAT/USD
CRYPTO,SEI/USD
CRYPTO,SOL/USD
CRYPTO,SUI/USD
CRYPTO,TIA/USD
CRYPTO,XRP/USD
FOREX,AUD/USD
FOREX,EUR/USD
FOREX,GBP/USD
FOREX,NZD/USD
FOREX,USD/CAD
FOREX,USD/CHF
FOREX,USD/JPY
FOREX,USD/MXN
FOREX,USD/SEK
FOREX,USD/SGD
FOREX,USD/ZAR
COMMODITIES,USOILSPOT/USD
COMMODITIES,XAG/USD
COMMODITIES,XAU/USD
OTHER,AAPL/USD
OTHER,AAVE/USD
OTHER,AERO/USD
OTHER,AMZN/USD
OTHER,APE/USD
OTHER,ARKM/USD
OTHER,ASTER/USD
OTHER,AVNT/USD
OTHER,BERA/USD
OTHER,BONK/USD
OTHER,BRETT/USD
OTHER,CHILLGUY/USD
OTHER,COIN/USD
OTHER,DELISTED_32/DELISTED_32
OTHER,DELISTED_47/DELISTED_47
OTHER,DYM/USD
OTHER,EIGEN/USD
OTHER,ENA/USD
OTHER,FET/USD
OTHER,GOAT/USD
OTHER,GOOG/USD
OTHER,HOOD/USD
OTHER,JUP/USD
OTHER,KAITO/USD
OTHER,LDO/USD
OTHER,META/USD
OTHER,MON/USD
OTHER,MSFT/USD
OTHER,NVDA/USD
OTHER,ONDO/USD
OTHER,ORDI/USD
OTHER,PENDLE/USD
OTHER,PENGU/USD
OTHER,PEPE/USD
OTHER,POL/USD
OTHER,PUMP/USD
OTHER,QQQ/USD
OTHER,RENDER/USD
OTHER,REZ/USD
OTHER,SHIB/USD
OTHER,SPY/USD
OTHER,STX/USD
OTHER,TAO/USD
OTHER,TRUMP/USD
OTHER,TSLA/USD
OTHER,USD/BRL
OTHER,USD/CNH
OTHER,USD/IDR
OTHER,USD/INR
OTHER,USD/KRW
OTHER,USD/TRY
OTHER,USD/TWD
OTHER,VIRTUAL/USD
OTHER,WIF/USD
OTHER,WLD/USD
OTHER,XMR/USD
OTHER,XPL/USD
OTHER,ZEC/USD
OTHER,ZK/USD
OTHER,ZORA/USD
OTHER,ZRO/USD





